C70-2	LX902103033CN
CJ115	EV996529511CN
CJ117	EV996731692CN
CJ118	EV996731701CN
CJ119	EV996469614CN
CJ120	EV995976036CN
CJ121	EV995760437CN
CV86	LN362279711CN
CV88	LM903871845CN
CV89	EV996170326CN
CV90	LN370131607CN
CV92	LN369104842CN
CV93	EV995631640CN
CV94	LN371352216CN
H3139	EV995631622CN
L1271-2	LN357472819CN
L2004-2	AG902661920CN
L20140428-3	AG902713065CN
L2027	LX902279018CN
L2037-2	LN366599755CN
L2103-2	LN369104825CN
L2115-2	LN369104839CN
L2124	LN362279742CN
L2143	LN357459392CN
L2153-2	LN363583867CN
L2157	LM903697863CN
L2159	AG902725625CN
L2161	LN357515752CN
L2162	LN357515735CN
L2163	AG902695747CN
L2164	LN360217277CN
L2166	LN357515721CN
L2167	LN360217250CN
L2168	LM903788856CN
L2174	LN360217303CN
L2176	LN363263077CN
L2177	LN361390648CN
L2182	LN362279668CN
L2186	LM903788860CN
L2189	LN361390634CN
L2190	LN361390625CN
L2191	LN361390617CN
L2193	LN361390603CN
L2194	LN362279645CN
L2195	LN363263063CN
L2201	LX902208317CN
L2205	LM904043385CN
L2207	LN366599923CN
L2209	LN366599866CN
L2210	LX902221914CN
L2212	AG902787837CN
L2216	LN366600167CN
L2217	LN366600079CN
L2218	LN366600119CN
L2219	LN366600048CN
L2221	EV996131565CN
L2223	LN370891421CN
L2225	LN373605893CN
L2226	LN369104811CN
L2231	LN370131598CN
L2234	AG902837241CN
L2235	LN371352220CN
L2237	EV995885803CN
L2238	LN370891449CN
L2239	LN370131624CN
L2241	LN373605981CN
L2242	LN373605955CN
L2245	LN373605947CN
L2247	LM904354555CN
L2248	LN373605920CN
L2249	AG902886605CN
L2253	LN373605902CN
L630-2	LN357515766CN
LJ25	EV996605155CN
LJ26	EV996469013CN
LJ27	EV996158841CN
LJ28	EV995804420CN
LJ32	EV995631636CN
